"Name","Address","Description","Latitude","Longitude"
"LockerDome","1221 Washington Avenue, St. Louis, MO, United States","LockerDome is a social media and native advertising platform founded in 2008 in St. Louis, Missouri, by CEO Gabe Lozano. Launched as a sports-themed social network, it expanded to other interests with the launch of LockerDome 3.0 in December 2013, and is now an AdTech company.<p></p>",38.6320791,-90.1976885
"Aisle 411","20 S Sarah St, St. Louis, MO 63108, United States","aisle411 collects, organizes and monetizes retailer’s product inventory location and enterprise software space planning systems and store maps, providing an in-store search and navigation platform (think “Google Maps” inside retail stores). aisle411’s platform can be leveraged by retailers, and other publishers within their mobile applications to drive exponential value from their data. The benefits come from valuable in-store analytics and consumer data by allowing users to conduct product searches, and map shopping lists. aisle411 collects, organizes and monetizes retailer’s product inventory location and enterprise software space planning systems and store maps, providing an in-store search and navigation platform (think “Google Maps” inside retail stores).",38.6362117,-90.2467661
"Capital Innovators","2315 Locust St, St. Louis, MO 63103, USA","<p>Capital Innovators is a 12-week program that provides tech startups with resources and connections including $50,000 in seed funding, mentorship from a pool of knowledgeable experts and, at the end of the program, the opportunity to pitch to angel investors and venture capitalist firms. Through their nationally recognized seed program, Capital Innovators has been ranked as a top accelerator four years consecutively and featured in many high profile tech publications such as Entrepreneur, Forbes, CB Insights, Inc, and TechCrunch.</p>",38.6341923,-90.2128162
"Gremln","911 Washington Avenue, St. Louis, MO, United States","Gremln, a St. Louis based company provides software that allows regulated companies to ensure that their social media communication is compliant with SEC, FINRA, FFIEC, FDA, and HIPPA regulations.

Since 2011, financial regulatory bodies have continued to issue and update guidance regulations holding banks, credit unions, and other financial institutions accountable for social media activities and communications. As a result, regulated industries have been virtually unable to harness the benefits of social media marketing. Gremln offers social media compliance enforcement to help regulated industries utilize social media with a higher degree of confidence by specifically addressing the need for filtering, monitoring, and archiving social media communications.",38.6314422,-90.1931569
"CIC@4240 (Cortex Innovation Community)","4240 Duncan Avenue, St. Louis, MO, United States","@4240 offers a unique environment for a range of companies including those involved in life sciences, research, technology, legal, innovation and entrepreneurship… conveniently located within the CORTEX district in St. Louis’ popular Central West End. @4240 features the newest amenities in an historic brick building, along with modern laboratory facilities, office space, meeting rooms and areas for informal collaboration… all elements of today’s ideal work space.",38.6346583,-90.2513906
"Care Signal (Formerly Epharmix)","7529 Fleta Street, St. Louis, MO 63123, United States","CareSignal (formerly Epharmix) offers interventions that use automated phone calls or text messages to manage patients’ conditions while collecting disease-specific data. Epharmix interventions align with value metrics and reimbursement opportunities.<br>",38.5725181,-90.3084052
"OpenSTL (Code For America)","5050 Oakland Avenue, St. Louis, MO, United States","<p><span style=""color: inherit;"">OpenSTL is a civic-tech meetup and volunteer brigade of Code for America working to address civic and community issues through open data and technology.&nbsp;</span><span style=""color: inherit;"">OpenSTL meets as a chapter of the Code for America, which is a non-profit organization of citizens, technologists and public servants working together to address civic and community issues through open data and technology.</span><br></p>",38.6289922,-90.270419
"Hummingbird STL","5705 Lisette Avenue, St. Louis, MO, United States","Hummingbird STL is a digital agency based in St. Louis, MO with a focus on graphic design, web development, SEO, video/photography, strategic management &amp; more.<p></p><p><a href=""https://twitter.com/hummingbirdstl target="" _blank'="""">Twitter</a><br><a href=""https://www.facebook.com/hummingbirdstl target="" _blank'="""">Facebook</a></p>",38.5762202,-90.2923239
"BlueStrata EHR","999 Executive Parkway Drive, Creve Coeur, MO, United States","BlueStrata EHR is a cloud-based electronic health record company, with a system designed and tailored specifically for the needs of the long-term care market. Our SaaS model approach is innovative, customer focused and agile, focused on serving the technological needs of nursing homes as 76 million baby boomers enter retirement.</p><p><a href='https://twitter.com/BlueStrataEHR target='_blank'>Twitter</a><br><a href='https://www.facebook.com/BlueStrata-EHR-760133317439282/ target='_blank'>Facebook</a></p><br><a href='https://www.linkedin.com/company-beta/10024406 target='_blank'>Linkedin</a></p><br><a href='http://bluestrataehr.com/bluestrata/contact-us/ target='_blank'>Job Openings</a></p>",38.6738823,-90.4730155
"Ascension Ventures","101 South Hanley Road, Clayton, MO, United States","<p>Ascension Ventures is a strategic healthcare venture fund with more than $800 million in capital under management. Ascension Ventures generates returns to their limited partners that help support their missions to provide care to the poor and vulnerable. As a strategic investor, Ascension Ventures adds value by sharing its portfolio companies' solutions across its limited partner base, who are some of the most respected, values-driven nonprofit healthcare systems in the US. They also provide ""expertise in strategy, operations, finance, sales, growth hacking, and connections to current business and industry experts... a specialist approach using extensive sector insight to identify and progress innovative enterprises.""</p>",38.648225,-90.3348083
"Young Presidents Organization (YPO)","St. Louis, MO, United States","YPO is the global platform for chief executives to engage, learn and grow. YPO members harness the knowledge, influence and trust of the world’s most influential and innovative business leaders to inspire business, personal, family and community impact.</p><p><a href='http://twitter.com/YPO target='_blank'>Twitter</a><br><a href='https://www.facebook.com/ypoglobal/ target='_blank'>Facebook</a></p><br><a href='https://www.linkedin.com/company/ypo-global target='_blank'>Linkedin</a></p>",38.6270025,-90.1994042
"Social Enterprise and Innovation Competition (SEIC)","Washington University in St. Louis, St. Louis, MO, United States","The Social Entrepreneurship and Innovation Contest, or SEIC, provides three main services:

-Free training and coaching: You will work with experts and be supported by the SEIC community to bring your business and/or social development ideas to life. You will learn about business principles and prepare documents to help others support your project ideas.

-Free prototype support: You will learn how to test ideas for their viability before investing money and time in them. We will support you to create prototypes (minimum viable products) and evaluate the results.

-Seed money, and services in a value up to $100,000 is available for selected projects.",38.6487895,-90.3107962
